Model,Train_RMSE,Val_RMSE,Train_MAE,Val_MAE,Train_R2,Val_R2,Overfitting
MLPRegressor,1079.9298871607812,1020.9066211769155,760.1741526025872,721.893104484854,0.6057374053251379,0.6165335512836463,59.02326598386571
Random Forest,895.8198326149409,1027.64013371392,633.1405874147249,716.4643243441717,0.7287087410592679,0.6114584713826128,-131.82030109897914
HistGradient Boosting,853.8977836503682,1058.003464230591,619.3828067359254,732.2523413772843,0.7535060709670277,0.5881590661823206,-204.10568058022272
Linear Regression,1141.320407577783,1069.4400780711699,847.0869174971166,792.5722889070943,0.5596382181255344,0.5792072566830994,71.88032950661318
AdaBoost,1127.0617708497791,1074.4848155981672,815.9865380262363,781.5443192043217,0.570572460232033,0.575227986087371,52.576955251611935
XGBoost,397.5643033477588,1139.4161706883074,296.0927194323836,789.6723097420137,0.9465670415673343,0.522338665178139,-741.8518673405486
